Date,Close/Last,Volume,Open,High,Low
2024-06-14,$212.49,70122750,$213.85,$215.17,$211.30
2024-06-13,$214.24,97862730,$214.74,$216.75,$211.60
2024-06-12,$213.07,198134300,$207.37,$220.20,$206.90
2024-06-11,$207.15,172373300,$193.65,$207.16,$193.63
2024-06-10,$193.12,97262080,$196.90,$197.30,$192.15
2024-06-07,$196.89,53103910,$194.65,$196.94,$194.14
2024-06-06,$194.48,41181750,$195.685,$196.50,$194.17
2024-06-05,$195.87,54156790,$195.40,$196.90,$194.87
2024-06-04,$194.35,47471450,$194.635,$195.32,$193.0342
2024-06-03,$194.03,50080540,$192.90,$194.99,$192.52
2024-05-31,$192.25,75158280,$191.44,$192.57,$189.91
2024-05-30,$191.29,49947940,$190.76,$192.18,$190.63
2024-05-29,$190.29,53068020,$189.61,$192.247,$189.51
2024-05-28,$189.99,52280050,$191.51,$193.00,$189.10
2024-05-24,$189.98,36326980,$188.82,$190.58,$188.0404
2024-05-23,$186.88,51005920,$190.98,$191.00,$186.625
2024-05-22,$190.90,34648550,$192.265,$192.8231,$190.27
2024-05-21,$192.35,42309400,$191.09,$192.73,$190.9201
2024-05-20,$191.04,44361280,$189.325,$191.9199,$189.01
2024-05-17,$189.87,41282930,$189.51,$190.81,$189.18
2024-05-16,$189.84,52845230,$190.47,$191.095,$189.6601
2024-05-15,$189.72,70399990,$187.91,$190.65,$187.37
2024-05-14,$187.43,52393620,$187.51,$188.30,$186.29
2024-05-13,$186.28,72044810,$185.435,$187.10,$184.62
2024-05-10,$183.05,50759500,$184.90,$185.09,$182.13
2024-05-09,$184.57,48982970,$182.56,$184.66,$182.11
2024-05-08,$182.74,45057090,$182.85,$183.07,$181.45
2024-05-07,$182.40,77305770,$183.45,$184.90,$181.32
2024-05-06,$181.71,78569670,$182.354,$184.20,$180.42
2024-05-03,$183.38,163224100,$186.645,$187.00,$182.66
2024-05-02,$173.03,94214920,$172.51,$173.415,$170.89
2024-05-01,$169.30,50383150,$169.58,$172.705,$169.11
2024-04-30,$170.33,65934780,$173.33,$174.99,$170.00
2024-04-29,$173.50,68169420,$173.37,$176.03,$173.10
2024-04-26,$169.30,44838350,$169.88,$171.34,$169.18
2024-04-25,$169.89,50558330,$169.525,$170.61,$168.1511
2024-04-24,$169.02,48251840,$166.54,$169.30,$166.21
2024-04-23,$166.90,49537760,$165.35,$167.05,$164.92
2024-04-22,$165.84,48116440,$165.515,$167.26,$164.77
2024-04-19,$165.00,68149380,$166.21,$166.40,$164.075
2024-04-18,$167.04,43122900,$168.03,$168.64,$166.55
2024-04-17,$168.00,50901210,$169.61,$170.65,$168.00
2024-04-16,$169.38,73711240,$171.75,$173.76,$168.27
2024-04-15,$172.69,73531770,$175.36,$176.63,$172.50
2024-04-12,$176.55,101670900,$174.26,$178.36,$174.21
2024-04-11,$175.04,91070280,$168.34,$175.46,$168.16
2024-04-10,$167.78,49709340,$168.80,$169.09,$167.11
2024-04-09,$169.67,42451210,$168.70,$170.08,$168.35
2024-04-08,$168.45,37425510,$169.03,$169.20,$168.24
2024-04-05,$169.58,42104830,$169.59,$170.39,$168.95
2024-04-04,$168.82,53704390,$170.29,$171.92,$168.82
2024-04-03,$169.65,47691720,$168.79,$170.68,$168.58
2024-04-02,$168.84,49329480,$169.08,$169.34,$168.2302
2024-04-01,$170.03,46240500,$171.19,$171.25,$169.475
2024-03-28,$171.48,65672690,$171.75,$172.23,$170.51
2024-03-27,$173.31,60273270,$170.41,$173.60,$170.11
2024-03-26,$169.71,57388450,$170.00,$171.42,$169.58
2024-03-25,$170.85,54288330,$170.565,$171.94,$169.45
2024-03-22,$172.28,71160140,$171.76,$173.05,$170.06
2024-03-21,$171.37,106181300,$177.05,$177.49,$170.84
2024-03-20,$178.67,53423100,$175.72,$178.67,$175.09
2024-03-19,$176.08,55215240,$174.34,$176.605,$173.03
2024-03-18,$173.72,75604180,$175.57,$177.71,$173.52
2024-03-15,$172.62,121752700,$171.17,$172.62,$170.285
2024-03-14,$173.00,72913510,$172.91,$174.3078,$172.05
2024-03-13,$171.13,52488690,$172.77,$173.185,$170.76
2024-03-12,$173.23,59825370,$173.15,$174.03,$171.01
2024-03-11,$172.75,60139470,$172.94,$174.38,$172.05
2024-03-08,$170.73,76267040,$169.00,$173.70,$168.94
2024-03-07,$169.00,71765060,$169.15,$170.73,$168.49
2024-03-06,$169.12,68587710,$171.06,$171.24,$168.68
2024-03-05,$170.12,95132360,$170.76,$172.04,$169.62
2024-03-04,$175.10,81510100,$176.15,$176.90,$173.79
2024-03-01,$179.66,73563080,$179.55,$180.53,$177.38
2024-02-29,$180.75,136682600,$181.27,$182.57,$179.53
2024-02-28,$181.42,48953940,$182.51,$183.12,$180.13
2024-02-27,$182.63,54318850,$181.10,$183.9225,$179.56
